CustomerAltID,FirstName,LastName,Gender,Email,PhoneNumber,FirstLine,SecondLine,District,City,Country,SignupDate,CustomerID
100001,Kathleen,Adams,Female,k.adams@yahoo.com,2.01643E+11,Dokki. Cairo. Egypt,Building 89. Street 243,Dokki,Cairo,Egypt,2023-05-25,1
100002,Stephanie,Schwartz,Female,s.schwartz@yahoo.com,2.01085E+11,Nasr City. Cairo. Egypt,Building 11. Street 79,Nasr City,Cairo,Egypt,2023-12-12,2
100003,Tracy,Miller,Female,t.miller@yahoo.com,2.0124E+11,Zamalek. Cairo. Egypt,Building 25. Street 36,Zamalek,Cairo,Egypt,2022-01-13,3
100004,Courtney,Hawkins,Female,c.hawkins@gmail.com,2.01091E+11,Mokattam. Cairo. Egypt,Building 43. Street 221,Mokattam,Cairo,Egypt,2024-08-22,4
100005,Christian,Bryan,Male,c.bryan@yahoo.com,2.01268E+11,New Cairo. Cairo. Egypt,Building 90. Street 55,New Cairo,Cairo,Egypt,2022-02-28,5
100006,Francisco,Lopez,Male,f.lopez@yahoo.com,2.01688E+11,Agouza. Cairo. Egypt,Building 59. Street 65,Agouza,Cairo,Egypt,2024-05-11,6
100007,Erin,Munoz,Female,e.munoz@gmail.com,2.01294E+11,Garden City. Cairo. Egypt,Building 90. Street 61,Garden City,Cairo,Egypt,2023-04-08,7
100008,Jessica,Davis,Female,j.davis@gmail.com,2.01287E+11,Mokattam. Cairo. Egypt,Building 67. Street 154,Mokattam,Cairo,Egypt,2024-08-17,8
100009,Victor,Steele,Male,v.steele@gmail.com,2.01058E+11,Shorouk City. Cairo. Egypt,Building 2. Street 211,Shorouk City,Cairo,Egypt,2024-03-11,9
100010,Felicia,Vaughn,Female,f.vaughn@gmail.com,2.01087E+11,El Matareya. Cairo. Egypt,Building 13. Street 71,El Matareya,Cairo,Egypt,2024-03-23,10
100011,Jessica,Perez,Female,j.perez@gmail.com,2.01214E+11,El Rehab. Cairo. Egypt,Building 81. Street 266,El Rehab,Cairo,Egypt,2021-10-25,11
100012,Robert,Hamilton,Male,r.hamilton@gmail.com,2.01645E+11,Nasr City. Cairo. Egypt,Building 68. Street 216,Nasr City,Cairo,Egypt,2021-02-18,12
100013,Christina,Ramos,Female,c.ramos@yahoo.com,2.01222E+11,Mokattam. Cairo. Egypt,Building 52. Street 63,Mokattam,Cairo,Egypt,2024-07-15,13
100014,Melissa,Stevens,Female,m.stevens@gmail.com,2.0107E+11,Heliopolis. Cairo. Egypt,Building 86. Street 291,Heliopolis,Cairo,Egypt,2021-10-30,14
100015,Marcus,Ferguson,Male,m.ferguson@yahoo.com,2.01282E+11,Sheikh Zayed. Cairo. Egypt,Building 83. Street 266,Sheikh Zayed,Cairo,Egypt,2021-03-16,15
100016,Jennifer,Weber,Female,j.weber@yahoo.com,2.01068E+11,Nasr City. Cairo. Egypt,Building 26. Street 58,Nasr City,Cairo,Egypt,2023-08-24,16
100017,Vincent,Wilson,Male,v.wilson@gmail.com,2.01017E+11,Maadi. Cairo. Egypt,Building 19. Street 16,Maadi,Cairo,Egypt,2023-05-06,17
100018,Rachel,Stephens,Female,r.stephens@gmail.com,2.01077E+11,Shorouk City. Cairo. Egypt,Building 7. Street 124,Shorouk City,Cairo,Egypt,2022-07-02,18
100019,Stacy,Briggs,Female,s.briggs@gmail.com,2.01264E+11,Maadi. Cairo. Egypt,Building 56. Street 179,Maadi,Cairo,Egypt,2024-02-29,19
