CustomerID,FirstName,LastName,Gender,Email,PhoneNumber,FirstLine,SecondLine,District,City,Country,SignupDate
100001,Kathleen,Adams,Female,k.adams@yahoo.com,2.01643E+11,Dokki. Cairo. Egypt,Building 89. Street 243,Dokki,Cairo,Egypt,5/25/2023
100002,Stephanie,Schwartz,Female,s.schwartz@yahoo.com,2.01085E+11,Nasr City. Cairo. Egypt,Building 11. Street 79,Nasr City,Cairo,Egypt,12/12/2023
100003,Tracy,Miller,Female,t.miller@yahoo.com,2.0124E+11,Zamalek. Cairo. Egypt,Building 25. Street 36,Zamalek,Cairo,Egypt,1/13/2022
100004,Courtney,Hawkins,Female,c.hawkins@gmail.com,2.01091E+11,Mokattam. Cairo. Egypt,Building 43. Street 221,Mokattam,Cairo,Egypt,8/22/2024
100005,Christian,Bryan,Male,c.bryan@yahoo.com,2.01268E+11,New Cairo. Cairo. Egypt,Building 90. Street 55,New Cairo,Cairo,Egypt,2/28/2022
100006,Francisco,Lopez,Male,f.lopez@yahoo.com,2.01688E+11,Agouza. Cairo. Egypt,Building 59. Street 65,Agouza,Cairo,Egypt,5/11/2024
100007,Erin,Munoz,Female,e.munoz@gmail.com,2.01294E+11,Garden City. Cairo. Egypt,Building 90. Street 61,Garden City,Cairo,Egypt,4/8/2023
100008,Jessica,Davis,Female,j.davis@gmail.com,2.01287E+11,Mokattam. Cairo. Egypt,Building 67. Street 154,Mokattam,Cairo,Egypt,8/17/2024
100009,Victor,Steele,Male,v.steele@gmail.com,2.01058E+11,Shorouk City. Cairo. Egypt,Building 2. Street 211,Shorouk City,Cairo,Egypt,3/11/2024
100010,Felicia,Vaughn,Female,f.vaughn@gmail.com,2.01087E+11,El Matareya. Cairo. Egypt,Building 13. Street 71,El Matareya,Cairo,Egypt,3/23/2024
100011,Jessica,Perez,Female,j.perez@gmail.com,2.01214E+11,El Rehab. Cairo. Egypt,Building 81. Street 266,El Rehab,Cairo,Egypt,10/25/2021
100012,Robert,Hamilton,Male,r.hamilton@gmail.com,2.01645E+11,Nasr City. Cairo. Egypt,Building 68. Street 216,Nasr City,Cairo,Egypt,2/18/2021
100013,Christina,Ramos,Female,c.ramos@yahoo.com,2.01222E+11,Mokattam. Cairo. Egypt,Building 52. Street 63,Mokattam,Cairo,Egypt,7/15/2024
100014,Melissa,Stevens,Female,m.stevens@gmail.com,2.0107E+11,Heliopolis. Cairo. Egypt,Building 86. Street 291,Heliopolis,Cairo,Egypt,10/30/2021
100015,Marcus,Ferguson,Male,m.ferguson@yahoo.com,2.01282E+11,Sheikh Zayed. Cairo. Egypt,Building 83. Street 266,Sheikh Zayed,Cairo,Egypt,3/16/2021
100016,Jennifer,Weber,Female,j.weber@yahoo.com,2.01068E+11,Nasr City. Cairo. Egypt,Building 26. Street 58,Nasr City,Cairo,Egypt,8/24/2023
100017,Vincent,Wilson,Male,v.wilson@gmail.com,2.01017E+11,Maadi. Cairo. Egypt,Building 19. Street 16,Maadi,Cairo,Egypt,5/6/2023
100018,Rachel,Stephens,Female,r.stephens@gmail.com,2.01077E+11,Shorouk City. Cairo. Egypt,Building 7. Street 124,Shorouk City,Cairo,Egypt,7/2/2022
100019,Stacy,Briggs,Female,s.briggs@gmail.com,2.01264E+11,Maadi. Cairo. Egypt,Building 56. Street 179,Maadi,Cairo,Egypt,2/29/2024
100020,Michael,Porter,Male,m.porter@gmail.com,2.01691E+11,New Cairo. Cairo. Egypt,Building 37. Street 172,New Cairo,Cairo,Egypt,3/14/2024
100021,Kellie,Davis,Female,k.davis@gmail.com,2.01082E+11,Obour City. Cairo. Egypt,Building 62. Street 146,Obour City,Cairo,Egypt,4/1/2022
100022,Peter,Hernandez,Male,p.hernandez@yahoo.com,2.01244E+11,Zamalek. Cairo. Egypt,Building 66. Street 280,Zamalek,Cairo,Egypt,3/17/2022
100023,Adam,Matthews,Male,a.matthews@gmail.com,2.01024E+11,Zamalek. Cairo. Egypt,Building 39. Street 249,Zamalek,Cairo,Egypt,6/7/2022
100024,Kaitlyn,Gibbs,Female,k.gibbs@yahoo.com,2.01692E+11,Dokki. Cairo. Egypt,Building 32. Street 136,Dokki,Cairo,Egypt,6/20/2023
100025,Ronald,Lang,Male,r.lang@gmail.com,2.01243E+11,Garden City. Cairo. Egypt,Building 7. Street 288,Garden City,Cairo,Egypt,8/21/2021
100026,Carla,Berry,Female,c.berry@gmail.com,2.01047E+11,Mohandessin. Cairo. Egypt,Building 93. Street 195,Mohandessin,Cairo,Egypt,4/1/2024
100027,Chad,Bennett,Male,c.bennett@gmail.com,2.01099E+11,Sheikh Zayed. Cairo. Egypt,Building 56. Street 117,Sheikh Zayed,Cairo,Egypt,9/23/2021
100028,Gabriella,Chen,Female,g.chen@gmail.com,2.01651E+11,El Rehab. Cairo. Egypt,Building 64. Street 61,El Rehab,Cairo,Egypt,11/19/2020
